id,title,first_trait,second_trait,first_value,second_value,,
1,Accept people as they are,IV+,II+,0.83,0.33,,
2,Act at the expense of others.,II+,III+,0.73,0.18,,
3,Act comfortably with others.,I+,II+,0.85,0.37,,
4,Act wild and crazy.,I+,III-,0.78,0.26,,
5,Adapt easily to new situations.,IV+,I+,0.84,0.34,,
6,Am a creature of habit.,IV+,III-,0.73,0.21,,
7,Am able to control my cravings.,IV+,III+,0.76,0.24,,
8,Am able to find out things by myself.,V+,IV+,0.84,0.37,,
9,Am afraid to draw attention to myself.,I+,V+,0.82,0.31,,
10,Am always busy.,I+,III+,0.75,0.2,,
11,Am always in the same mood.,IV+,V-,0.76,0.22,,
12,Am always prepared.,III+,IV+,0.81,0.27,,
13,Am attached to conventional ways.,IV+,III-,0.73,0.21,,
14,Am calm even in tense situations.,IV+,V+,0.84,0.29,,
15,Am careful to avoid making mistakes.,III+,III+,0.75,0.19,,
16,Am comfortable in unfamiliar situations.,I+,IV+,0.82,0.31,,
17,Am concerned about others.,II+,III-,0.74,0.2,,
18,Am deeply moved by others' misfortunes.,II+,III-,0.74,0.2,,
19,Am easily confused.,IV+,V+,0.84,0.29,,
20,Am easily distracted.,III+,IV+,0.81,0.27,,
21,Am easily excited.,IV+,I-,0.78,0.24,,
22,Am easily frightened.,IV+,V+,0.84,0.29,,
23,Am easily hurt.,IV+,V+,0.84,0.29,,
24,Am easily moved to tears.,IV+,II-,0.84,0.37,,
25,Am easily offended.,IV+,V+,0.84,0.29,,
26,Am easily talked into doing silly things.,III+,I-,0.77,0.21,,
27,Am easy to satisfy.,II+,IV+,0.76,0.22,,
28,Am exacting in my work.,III+,I+,0.83,0.3,,
29,Am filled with doubts about things.,IV+,I+,0.84,0.34,,
30,Am full of ideas.,V+,I+,0.84,0.37,,
31,Am good at many things.,V+,I+,0.84,0.37,,
32,Am guided by my moods.,IV+,III+,0.76,0.24,,
33,Am hard to satisfy.,II+,IV+,0.76,0.22,,
34,Am interested in people.,II+,I+,0.84,0.33,,
35,Am never at a loss for words.,I+,V+,0.82,0.31,,
36,Am not afraid of providing criticism.,I+,II-,0.72,0.19,,
37,Am not as strict as I should be.,III+,II-,0.67,0.13,,
38,Am not bothered by disorder.,III+,IV-,0.76,0.26,,
39,Am not bothered by messy people.,III+,IV-,0.76,0.26,,
40,Am not disturbed by events.,IV+,V-,0.76,0.22,,
41,Am not easily affected by my emotions.,IV+,II-,0.84,0.37,,
42,Am not easily annoyed.,IV+,II+,0.83,0.33,,
43,Am not easily bothered by things.,IV+,IV+,0.86,0.37,,
44,Am not easily distracted.,III+,IV+,0.81,0.27,,
45,Am not easily frustrated.,IV+,IV+,0.86,0.37,,
46,Am not easily stirred.,IV+,V-,0.76,0.22,,
47,Am not embarrassed easily.,I+,IV+,0.82,0.31,,
48,Am not highly motivated to succeed.,I+,III+,0.75,0.2,,
49,Am not in touch with my feelings.,II+,V+,0.7,0.2,,
50,Am not interested in speculating about things.,V+,II-,0.81,0.3,,
51,Am not interested in theoretical discussions.,V+,II-,0.81,0.3,,
52,Am not sure where my life is going.,IV+,III+,0.76,0.24,,
53,Am often in a bad mood.,IV+,II+,0.83,0.33,,
54,Am often late to work.,III+,III+,0.75,0.19,,
55,Am on good terms with nearly everyone.,II+,IV+,0.76,0.22,,
56,Am open about my feelings.,I+,II+,0.85,0.37,,
57,Am open about myself to others.,I+,III-,0.78,0.26,,
58,Am quick to judge others.,II+,IV+,0.76,0.22,,
59,Am quick to understand things.,V+,IV+,0.84,0.37,,
60,Am relaxed most of the time.,IV+,V-,0.76,0.22,,
61,Am sure of my ground.,IV+,I+,0.84,0.34,,
62,Am swayed by my emotions.,IV+,V-,0.76,0.22,,
63,Am the first to act.,I+,V+,0.82,0.31,,
64,Am the life of the party.,I+,I+,0.83,0.34,,
65,Amuse myself easily.,I+,V-,0.66,0.16,,
66,Anticipate the needs of others.,II+,V+,0.7,0.2,,
67,Appreciate good manners.,III+,II+,0.78,0.21,,
68,Appreciate the viewpoints of others.,II+,II+,0.81,0.3,,
69,Ask questions that nobody else does.,V+,II-,0.81,0.3,,
70,Automatically take charge.,I+,III+,0.75,0.2,,
71,Avoid contacts with others.,I+,II+,0.85,0.37,,
72,Avoid philosophical discussions.,V+,II-,0.81,0.3,,
73,Barge in on conversations.,IV+,I-,0.78,0.24,,
74,Become overwhelmed by events.,IV+,V+,0.84,0.29,,
75,Behave properly.,III+,II+,0.78,0.21,,
76,Believe crying helps me feel better.,II+,IV-,0.74,0.18,,
77,Believe in a logical answer for everything.,III+,II-,0.67,0.13,,
78,Believe in an eye for an eye.,III+,II-,0.67,0.13,,
79,Believe in the importance of art.,V+,III-,0.78,0.27,,
80,Believe only in myself.,II+,V-,0.71,0.16,,
81,Believe people should fend for themselves.,II+,III-,0.74,0.2,,
82,Believe that I am better than others.,II+,V-,0.71,0.16,,
83,Believe that criminals should receive help rather than punishment.,III+,II-,0.67,0.13,,
84,Blurt out whatever comes into my mind.,IV+,I-,0.78,0.24,,
85,Boast about my virtues.,I+,II-,0.72,0.19,,
86,Break rules.,II+,III+,0.73,0.18,,
87,Burst into tears.,IV+,II-,0.84,0.37,,
88,Can be stirred up easily.,IV+,V-,0.76,0.22,,
89,Can easily link facts together.,V+,II-,0.81,0.3,,
90,Can easily push myself forward.,I+,III+,0.75,0.2,,
91,Can handle a lot of information.,V+,IV+,0.84,0.37,,
92,Can handle complex problems.,V+,IV+,0.84,0.37,,
93,Can stand criticism.,IV+,V+,0.84,0.29,,
94,Can take strong measures.,I+,II-,0.72,0.19,,
95,Can't be bothered with other's needs.,II+,II+,0.81,0.3,,
96,Can't come up with new ideas.,V+,I+,0.84,0.37,,
97,Can't concentrate.,IV+,III+,0.76,0.24,,
98,Can't do without the company of others.,I+,V-,0.66,0.16,,
99,Can't make up my mind.,III+,IV+,0.81,0.27,,
100,Can't stand being alone.,V+,I-,0.71,0.18,,
101,Can't stand being contradicted.,IV+,III-,0.73,0.21,,
102,Can't stand confrontations.,I+,II-,0.72,0.19,,
103,Carry out my plans.,III+,IV+,0.81,0.27,,
104,Carry the conversation to a higher level.,V+,I+,0.84,0.37,,
105,Catch on to things quickly.,V+,IV+,0.84,0.37,,
106,Challenge others' points of view.,V+,II-,0.81,0.3,,
107,Check over my work.,III+,II+,0.78,0.21,,
108,Cherish mementos.,II+,IV-,0.74,0.18,,
109,Come straight to the point.,III+,II-,0.67,0.13,,
110,Come up with a solution right away.,I+,III+,0.75,0.2,,
111,Come up with bold plans.,V+,I+,0.84,0.37,,
112,Comment loudly about others.,II+,I-,0.73,0.18,,
113,Complete tasks successfully.,III+,V+,0.78,0.23,,
114,Consider myself an average person.,V+,II-,0.81,0.3,,
115,Continue until everything is perfect.,III+,IV-,0.76,0.26,,
116,Contradict others.,II+,IV+,0.76,0.22,,
117,Criticize others' shortcomings.,II+,IV+,0.76,0.22,,
118,Cry during movies.,IV+,II-,0.84,0.37,,
119,Cry easily.,IV+,II-,0.84,0.37,,
120,Dare to say anything.,I+,II-,0.72,0.19,,
121,Demand attention.,IV+,I-,0.78,0.24,,
122,Demand obedience.,IV+,III-,0.73,0.21,,
123,Demand perfection in others.,III+,IV-,0.76,0.26,,
124,Demand quality.,III+,V+,0.78,0.23,,
125,Demand to be the center of interest.,I+,IV-,0.84,0.35,,
126,Detect mistakes.,III+,V+,0.78,0.23,,
127,Disclose my intimate thoughts.,I+,III-,0.78,0.26,,
128,Dislike imperfect work.,III+,II-,0.67,0.13,,
129,Dislike learning.,V+,V+,0.81,0.27,,
130,Dislike myself.,IV+,I+,0.84,0.34,,
131,Dislike neighbors living too close.,I+,V-,0.66,0.16,,
132,Dislike routine.,III+,V-,0.78,0.27,,
133,Dislike talking about myself.,I+,IV-,0.84,0.35,,
134,Disregard rules.,III+,II+,0.78,0.21,,
135,Do a lot in my spare time.,I+,III+,0.75,0.2,,
136,Do crazy things.,III+,I-,0.77,0.21,,
137,Do dangerous things.,II+,I-,0.73,0.18,,
138,Do improper things.,III+,II+,0.78,0.21,,
139,Do most of the talking.,I+,IV-,0.84,0.35,,
140,Do not enjoy going to art museums.,V+,III-,0.78,0.27,,
141,Do not enjoy watching dance performances.,V+,II+,0.75,0.26,,
142,Do not like art.,V+,III-,0.78,0.27,,
143,Do not like concerts.,V+,II+,0.75,0.26,,
144,Do not like poetry.,V+,III-,0.78,0.27,,
145,Do not plan ahead.,III+,III+,0.75,0.19,,
146,Do the opposite of what is asked.,III+,II+,0.78,0.21,,
147,Do things I later regret.,IV+,III+,0.76,0.24,,
148,Do things according to a plan.,III+,III+,0.75,0.19,,
149,Do things at my own pace.,V+,I-,0.71,0.18,,
150,Do things at the last minute.,III+,IV+,0.81,0.27,,
151,Do things by the book.,III+,V-,0.78,0.27,,
152,Do things in a logical order.,III+,II-,0.67,0.13,,
153,Don't call people just to talk.,II+,IV-,0.74,0.18,,
154,Don't care about dressing nicely.,II+,IV-,0.74,0.18,,
155,Don't care about rules.,II+,III+,0.73,0.18,,
156,Don't fall for sob-stories.,II+,III-,0.74,0.2,,
157,Don't get excited about things.,II+,IV-,0.74,0.18,,
158,Don't have a soft side.,II+,V+,0.7,0.2,,
159,Don't know why I do some of the things I do.,IV+,III+,0.76,0.24,,
160,Don't like crowded events.,I+,V-,0.66,0.16,,
161,Don't like to ponder over things.,V+,I-,0.71,0.18,,
162,Don't lose my head.,IV+,V+,0.84,0.29,,
163,Don't mind being the center of attention.,I+,II-,0.72,0.19,,
164,Don't mind eating alone.,V+,I-,0.71,0.18,,
165,Don't pay attention.,III+,V+,0.78,0.23,,
166,Don't see things through.,III+,IV+,0.81,0.27,,
167,Don't think laws apply to me.,III+,II+,0.78,0.21,,
168,Don't understand people who get emotional.,II+,IV-,0.74,0.18,,
169,Don't understand things.,V+,IV+,0.84,0.37,,
170,Easily resist temptations.,IV+,III+,0.76,0.24,,
171,Enjoy being on the go.,I+,V-,0.66,0.16,,
172,Enjoy being part of a loud crowd.,I+,V-,0.66,0.16,,
173,Enjoy being reckless.,II+,I-,0.73,0.18,,
174,Enjoy contemplation.,V+,I-,0.71,0.18,,
175,Enjoy crude jokes.,II+,I-,0.73,0.18,,
176,Enjoy discussing movies and books with others.,V+,II+,0.75,0.26,,
177,Enjoy examining myself and my life.,V+,IV-,0.77,0.27,,
178,Enjoy my privacy.,V+,I-,0.71,0.18,,
179,Enjoy silence.,I+,V-,0.66,0.16,,
180,Enjoy spending time by myself.,V+,I-,0.71,0.18,,
181,Enjoy the beauty of nature.,V+,II+,0.75,0.26,,
182,Enjoy thinking about things.,V+,V+,0.81,0.27,,
183,Enjoy wild flights of fantasy.,V+,III-,0.78,0.27,,
184,Excel in what I do.,V+,III+,0.74,0.26,,
185,Expect dedicated work from others.,III+,IV-,0.76,0.26,,
186,Experience my emotions intensely.,IV+,V-,0.76,0.22,,
187,Experience very few emotional highs and lows.,IV+,V-,0.76,0.22,,
188,Express childlike joy.,I+,III-,0.78,0.26,,
189,Express myself easily.,I+,V+,0.82,0.31,,
190,Feel comfortable around people.,I+,IV+,0.82,0.31,,
191,Feel comfortable with myself.,IV+,I+,0.84,0.34,,
192,Feel crushed by setbacks.,IV+,V+,0.84,0.29,,
193,Feel others' emotions.,II+,I+,0.84,0.33,,
194,Feel sympathy for those who are worse off than myself.,II+,III-,0.74,0.2,,
